[2024-07-29 01:10:14,979] DEBUG - face_id：1，confidence：53.858270253707865 - core.py:611
[2024-07-29 01:10:15,165] DEBUG - face_id：1，confidence：54.562670642444964 - core.py:611
[2024-07-29 01:10:15,269] DEBUG - face_id：1，confidence：53.37609960895205 - core.py:611
[2024-07-29 01:10:15,396] DEBUG - face_id：1，confidence：52.733116540555514 - core.py:611
[2024-07-29 01:10:15,489] DEBUG - face_id：1，confidence：52.423423954592884 - core.py:611
[2024-07-29 01:10:15,598] DEBUG - face_id：1，confidence：52.85473471612683 - core.py:611
[2024-07-29 01:10:15,786] DEBUG - face_id：1，confidence：53.40729846852044 - core.py:611
[2024-07-29 01:10:15,933] DEBUG - face_id：1，confidence：54.048216174649355 - core.py:611
[2024-07-29 01:10:16,082] DEBUG - face_id：1，confidence：51.99383187300892 - core.py:611
[2024-07-29 01:10:16,225] DEBUG - face_id：1，confidence：51.34007197379417 - core.py:611
[2024-07-29 01:10:16,384] DEBUG - face_id：1，confidence：52.02204319842863 - core.py:611
[2024-07-29 01:10:16,544] DEBUG - face_id：1，confidence：52.74484127208754 - core.py:611
[2024-07-29 01:10:16,706] DEBUG - face_id：1，confidence：51.41057127317261 - core.py:611
[2024-07-29 01:10:16,831] DEBUG - face_id：1，confidence：50.93214003505562 - core.py:611
[2024-07-29 01:10:16,941] DEBUG - face_id：1，confidence：54.435934011520665 - core.py:611
[2024-07-29 01:10:17,059] DEBUG - face_id：1，confidence：50.66794435542951 - core.py:611
[2024-07-29 01:10:17,161] DEBUG - face_id：1，confidence：51.983211337536744 - core.py:611
[2024-07-29 01:10:17,293] DEBUG - face_id：1，confidence：53.38664270441495 - core.py:611
[2024-07-29 01:10:17,405] DEBUG - face_id：1，confidence：51.54410025690026 - core.py:611
[2024-07-29 01:10:17,557] DEBUG - face_id：1，confidence：54.549700348682485 - core.py:611
[2024-07-29 01:10:17,682] DEBUG - face_id：1，confidence：51.00040887455408 - core.py:611
[2024-07-29 01:10:17,821] DEBUG - face_id：1，confidence：52.44854162531952 - core.py:611
[2024-07-29 01:10:17,966] DEBUG - face_id：1，confidence：52.836599237074836 - core.py:611
[2024-07-29 01:10:18,094] DEBUG - face_id：1，confidence：49.713112677212465 - core.py:611
[2024-07-29 01:10:18,200] DEBUG - face_id：1，confidence：51.544137945977006 - core.py:611
[2024-07-29 01:10:18,300] DEBUG - face_id：1，confidence：53.05258192967619 - core.py:611
[2024-07-29 01:10:18,414] DEBUG - face_id：1，confidence：50.733024626374245 - core.py:611
[2024-07-29 01:10:18,568] DEBUG - face_id：1，confidence：52.51085083236935 - core.py:611
[2024-07-29 01:10:18,764] DEBUG - face_id：1，confidence：50.072766174779325 - core.py:611
[2024-07-29 01:10:18,885] DEBUG - face_id：1，confidence：52.25507074406363 - core.py:611
[2024-07-29 01:10:18,985] DEBUG - face_id：1，confidence：53.057647440181604 - core.py:611
[2024-07-29 01:10:19,130] DEBUG - face_id：1，confidence：51.56314897660014 - core.py:611
[2024-07-29 01:10:19,250] DEBUG - face_id：1，confidence：52.48565156087912 - core.py:611
[2024-07-29 01:10:19,390] DEBUG - face_id：1，confidence：51.416932730940346 - core.py:611
[2024-07-29 01:10:19,512] DEBUG - face_id：1，confidence：49.992317624997966 - core.py:611
[2024-07-29 01:10:19,701] DEBUG - face_id：1，confidence：53.08833922742047 - core.py:611
[2024-07-29 01:10:19,893] DEBUG - face_id：1，confidence：50.74721921678389 - core.py:611
[2024-07-29 01:10:20,013] DEBUG - face_id：1，confidence：47.87746591962507 - core.py:611
[2024-07-29 01:10:20,129] DEBUG - face_id：1，confidence：48.769779803089854 - core.py:611
[2024-07-29 01:10:20,282] DEBUG - face_id：1，confidence：49.49333863764522 - core.py:611
[2024-07-29 01:10:20,405] DEBUG - face_id：1，confidence：50.205321520269116 - core.py:611
[2024-07-29 01:10:20,644] DEBUG - face_id：1，confidence：52.327069065783796 - core.py:611
[2024-07-29 01:10:20,795] DEBUG - face_id：1，confidence：50.29408161970631 - core.py:611
[2024-07-29 01:10:20,905] DEBUG - face_id：1，confidence：48.63545369780914 - core.py:611
[2024-07-29 01:10:21,027] DEBUG - face_id：1，confidence：49.95177733587268 - core.py:611
[2024-07-29 01:10:21,162] DEBUG - face_id：1，confidence：49.679438047976014 - core.py:611
[2024-07-29 01:10:21,303] DEBUG - face_id：1，confidence：50.10482984106415 - core.py:611
[2024-07-29 01:10:21,440] DEBUG - face_id：1，confidence：51.40359403138978 - core.py:611
[2024-07-29 01:10:21,584] DEBUG - face_id：1，confidence：49.396740646422224 - core.py:611
[2024-07-29 01:10:21,709] DEBUG - face_id：1，confidence：48.278645601172876 - core.py:611
[2024-07-29 01:10:21,804] DEBUG - face_id：1，confidence：49.39811218224539 - core.py:611
[2024-07-29 01:10:21,973] DEBUG - face_id：1，confidence：49.84029039608254 - core.py:611
[2024-07-29 01:10:22,117] DEBUG - face_id：1，confidence：49.42859860723882 - core.py:611
[2024-07-29 01:10:22,237] DEBUG - face_id：1，confidence：48.91593736298296 - core.py:611
[2024-07-29 01:10:22,406] DEBUG - face_id：1，confidence：48.63626323101776 - core.py:611
[2024-07-29 01:10:22,514] DEBUG - face_id：1，confidence：48.859592223755044 - core.py:611
[2024-07-29 01:10:22,641] DEBUG - face_id：1，confidence：52.14485159771327 - core.py:611
[2024-07-29 01:10:22,812] DEBUG - face_id：1，confidence：52.52568008225795 - core.py:611
[2024-07-29 01:10:22,949] DEBUG - face_id：1，confidence：51.94389750980727 - core.py:611
[2024-07-29 01:10:23,085] DEBUG - face_id：1，confidence：50.19541910896446 - core.py:611
[2024-07-29 01:10:23,252] DEBUG - face_id：1，confidence：49.49736477018139 - core.py:611
[2024-07-29 01:10:23,389] DEBUG - face_id：1，confidence：49.45421375589533 - core.py:611
[2024-07-29 01:10:23,530] DEBUG - face_id：1，confidence：51.108663321526905 - core.py:611
[2024-07-29 01:10:23,680] DEBUG - face_id：1，confidence：52.37358141074721 - core.py:611
[2024-07-29 01:10:23,795] DEBUG - face_id：1，confidence：53.95838747326867 - core.py:611
[2024-07-29 01:10:23,921] DEBUG - face_id：1，confidence：58.50583464961755 - core.py:611
[2024-07-29 01:10:24,060] DEBUG - face_id：1，confidence：57.286937450827644 - core.py:611
[2024-07-29 01:10:24,187] DEBUG - face_id：1，confidence：59.42570204753766 - core.py:611
[2024-07-29 01:10:24,287] DEBUG - face_id：1，confidence：59.71652317314018 - core.py:611
[2024-07-29 01:10:24,374] DEBUG - face_id：1，confidence：59.74457779713325 - core.py:611
[2024-07-29 01:10:24,440] DEBUG - face_id：1，confidence：61.70665879716056 - core.py:611
[2024-07-29 01:10:24,536] DEBUG - face_id：1，confidence：59.94229131198105 - core.py:611
[2024-07-29 01:10:24,631] DEBUG - face_id：1，confidence：60.65856113562129 - core.py:611
[2024-07-29 01:10:24,745] DEBUG - face_id：1，confidence：59.79278472572802 - core.py:611
[2024-07-29 01:10:24,868] DEBUG - face_id：1，confidence：61.095802639533254 - core.py:611
[2024-07-29 01:10:24,997] DEBUG - face_id：1，confidence：60.915398424680816 - core.py:611
[2024-07-29 01:10:25,138] DEBUG - face_id：1，confidence：60.385665223907765 - core.py:611
[2024-07-29 01:10:25,261] DEBUG - face_id：1，confidence：59.78541100200785 - core.py:611
[2024-07-29 01:10:25,372] DEBUG - face_id：1，confidence：58.40191255663662 - core.py:611
[2024-07-29 01:10:25,481] DEBUG - face_id：1，confidence：60.44153003324392 - core.py:611
[2024-07-29 01:10:25,580] DEBUG - face_id：1，confidence：61.039848318027424 - core.py:611
[2024-07-29 01:10:25,726] DEBUG - face_id：1，confidence：62.510768336629916 - core.py:611
[2024-07-29 01:10:25,861] DEBUG - face_id：1，confidence：57.76904533538052 - core.py:611
[2024-07-29 01:10:26,010] DEBUG - face_id：1，confidence：58.93976932419414 - core.py:611
[2024-07-29 01:10:26,129] DEBUG - face_id：1，confidence：59.4043873864734 - core.py:611
[2024-07-29 01:10:26,251] DEBUG - face_id：1，confidence：59.384942279320114 - core.py:611
[2024-07-29 01:10:26,377] DEBUG - face_id：1，confidence：58.49598733088935 - core.py:611
[2024-07-29 01:10:26,537] DEBUG - face_id：1，confidence：59.386237835246355 - core.py:611
[2024-07-29 01:10:26,712] DEBUG - face_id：1，confidence：58.76545390418793 - core.py:611
[2024-07-29 01:10:26,823] DEBUG - face_id：1，confidence：58.55259845475655 - core.py:611
[2024-07-29 01:10:26,966] DEBUG - face_id：1，confidence：61.1834068915353 - core.py:611
[2024-07-29 01:10:27,080] DEBUG - face_id：1，confidence：60.904676743584915 - core.py:611
[2024-07-29 01:10:27,189] DEBUG - face_id：1，confidence：60.233788024048465 - core.py:611
[2024-07-29 01:10:27,297] DEBUG - face_id：1，confidence：59.3518869659947 - core.py:611
[2024-07-29 01:10:27,433] DEBUG - face_id：1，confidence：59.55616735463046 - core.py:611
[2024-07-29 01:10:27,555] DEBUG - face_id：1，confidence：58.407983191432926 - core.py:611
[2024-07-29 01:10:27,652] DEBUG - face_id：1，confidence：63.02786973150311 - core.py:611
[2024-07-29 01:10:27,779] DEBUG - face_id：1，confidence：58.5984732409455 - core.py:611
[2024-07-29 01:10:27,933] DEBUG - face_id：1，confidence：61.116580729274794 - core.py:611
[2024-07-29 01:10:28,015] DEBUG - face_id：1，confidence：58.89609633720037 - core.py:611
[2024-07-29 01:10:28,140] DEBUG - face_id：1，confidence：59.92416077839264 - core.py:611
[2024-07-29 01:10:28,247] DEBUG - face_id：1，confidence：59.62049169354714 - core.py:611
[2024-07-29 01:10:28,353] DEBUG - face_id：1，confidence：58.76032406263053 - core.py:611
[2024-07-29 01:10:28,501] DEBUG - face_id：1，confidence：60.161481680246986 - core.py:611
[2024-07-29 01:10:28,635] DEBUG - face_id：1，confidence：58.819339556956635 - core.py:611
[2024-07-29 01:10:28,737] DEBUG - face_id：1，confidence：58.41737641299985 - core.py:611
[2024-07-29 01:10:28,887] DEBUG - face_id：1，confidence：59.30389987296708 - core.py:611
[2024-07-29 01:10:28,991] DEBUG - face_id：1，confidence：59.770159492509976 - core.py:611
[2024-07-29 01:10:29,091] DEBUG - face_id：1，confidence：59.367282676581105 - core.py:611
[2024-07-29 01:10:29,204] DEBUG - face_id：1，confidence：58.30696068818084 - core.py:611
[2024-07-29 01:10:29,325] DEBUG - face_id：1，confidence：61.83379077353063 - core.py:611
[2024-07-29 01:10:29,486] DEBUG - face_id：1，confidence：60.591437250652625 - core.py:611
[2024-07-29 01:10:29,654] DEBUG - face_id：1，confidence：59.38630502925191 - core.py:611
[2024-07-29 01:10:29,766] DEBUG - face_id：1，confidence：59.40161515769543 - core.py:611
[2024-07-29 01:10:29,900] DEBUG - face_id：1，confidence：60.241410349769815 - core.py:611
[2024-07-29 01:10:30,025] DEBUG - face_id：1，confidence：59.26809917982651 - core.py:611
[2024-07-29 01:10:30,109] DEBUG - face_id：1，confidence：59.711605077110356 - core.py:611
[2024-07-29 01:10:30,270] DEBUG - face_id：1，confidence：59.41064797672002 - core.py:611
[2024-07-29 01:10:30,402] DEBUG - face_id：1，confidence：59.05869102145032 - core.py:611
[2024-07-29 01:10:30,504] DEBUG - face_id：1，confidence：60.01035384137853 - core.py:611
[2024-07-29 01:10:30,628] DEBUG - face_id：1，confidence：59.55219401697118 - core.py:611
[2024-07-29 01:10:30,720] DEBUG - face_id：1，confidence：60.15366678871983 - core.py:611
[2024-07-29 01:10:30,846] DEBUG - face_id：1，confidence：58.70955922625121 - core.py:611
[2024-07-29 01:10:31,014] DEBUG - face_id：1，confidence：58.97218950080509 - core.py:611
[2024-07-29 01:10:31,143] DEBUG - face_id：1，confidence：58.865097455596214 - core.py:611
[2024-07-29 01:10:31,251] DEBUG - face_id：1，confidence：58.267981402675915 - core.py:611
[2024-07-29 01:10:31,368] DEBUG - face_id：1，confidence：59.44073324488536 - core.py:611
[2024-07-29 01:10:31,514] DEBUG - face_id：1，confidence：59.79387041188328 - core.py:611
[2024-07-29 01:10:31,645] DEBUG - face_id：1，confidence：60.00603390917603 - core.py:611
[2024-07-29 01:10:31,795] DEBUG - face_id：1，confidence：58.29940367032743 - core.py:611
[2024-07-29 01:10:31,919] DEBUG - face_id：1，confidence：59.56306704991051 - core.py:611
[2024-07-29 01:10:32,056] DEBUG - face_id：1，confidence：60.095711493231626 - core.py:611
[2024-07-29 01:10:32,184] DEBUG - face_id：1，confidence：58.21196954386647 - core.py:611
[2024-07-29 01:10:32,310] DEBUG - face_id：1，confidence：59.245671507601436 - core.py:611
[2024-07-29 01:10:32,426] DEBUG - face_id：1，confidence：59.6193199355542 - core.py:611
[2024-07-29 01:10:32,604] DEBUG - face_id：1，confidence：59.52607738657379 - core.py:611
[2024-07-29 01:10:32,724] DEBUG - face_id：1，confidence：59.001937462386394 - core.py:611
[2024-07-29 01:10:32,851] DEBUG - face_id：1，confidence：59.136545837861696 - core.py:611
[2024-07-29 01:10:32,952] DEBUG - face_id：1，confidence：58.60495997817601 - core.py:611
[2024-07-29 01:10:33,065] DEBUG - face_id：1，confidence：56.27171931891726 - core.py:611
[2024-07-29 01:10:33,174] DEBUG - face_id：1，confidence：56.99508459021227 - core.py:611
[2024-07-29 01:10:33,305] DEBUG - face_id：1，confidence：56.674036111894765 - core.py:611
[2024-07-29 01:10:33,405] DEBUG - face_id：1，confidence：56.70235027424556 - core.py:611
[2024-07-29 01:10:33,536] DEBUG - face_id：1，confidence：57.65653961484448 - core.py:611
[2024-07-29 01:10:33,672] DEBUG - face_id：1，confidence：56.77906618468335 - core.py:611
[2024-07-29 01:10:33,829] DEBUG - face_id：1，confidence：58.28180940233426 - core.py:611
[2024-07-29 01:10:33,934] DEBUG - face_id：1，confidence：66.30099007746034 - core.py:611
[2024-07-29 01:10:33,951] INFO - 系统发出了报警信号 - core.py:645
[2024-07-29 01:10:34,026] DEBUG - face_id：1，confidence：56.29026876451497 - core.py:611
[2024-07-29 01:10:34,162] DEBUG - face_id：1，confidence：58.456078185345426 - core.py:611
[2024-07-29 01:10:34,324] DEBUG - face_id：1，confidence：57.302997855179726 - core.py:611
[2024-07-29 01:10:34,463] DEBUG - face_id：1，confidence：56.02518068830781 - core.py:611
[2024-07-29 01:10:34,587] DEBUG - face_id：1，confidence：56.1058630216991 - core.py:611
[2024-07-29 01:10:34,716] DEBUG - face_id：1，confidence：58.05236236329354 - core.py:611
[2024-07-29 01:10:34,845] DEBUG - face_id：1，confidence：57.87621007889095 - core.py:611
[2024-07-29 01:10:34,979] DEBUG - face_id：1，confidence：57.77796726513541 - core.py:611
[2024-07-29 01:10:35,109] DEBUG - face_id：1，confidence：58.27543418174328 - core.py:611
[2024-07-29 01:10:35,259] DEBUG - face_id：1，confidence：62.49490172493537 - core.py:611
[2024-07-29 01:10:35,382] DEBUG - face_id：1，confidence：60.517562555739495 - core.py:611
[2024-07-29 01:10:35,514] DEBUG - face_id：1，confidence：59.96270919142829 - core.py:611
[2024-07-29 01:10:35,665] DEBUG - face_id：1，confidence：59.728432836376676 - core.py:611
[2024-07-29 01:10:35,804] DEBUG - face_id：1，confidence：58.18121696619088 - core.py:611
[2024-07-29 01:10:35,917] DEBUG - face_id：1，confidence：59.19103459186733 - core.py:611
[2024-07-29 01:10:36,035] DEBUG - face_id：1，confidence：59.7808175455152 - core.py:611
[2024-07-29 01:10:36,200] DEBUG - face_id：1，confidence：58.241163392566186 - core.py:611
[2024-07-29 01:10:36,337] DEBUG - face_id：1，confidence：56.07344306511398 - core.py:611
[2024-07-29 01:10:36,465] DEBUG - face_id：1，confidence：59.09666992642505 - core.py:611
[2024-07-29 01:10:36,617] DEBUG - face_id：1，confidence：58.79799037269956 - core.py:611
[2024-07-29 01:10:36,764] DEBUG - face_id：1，confidence：57.19528219695831 - core.py:611
[2024-07-29 01:10:36,864] DEBUG - face_id：1，confidence：58.837802287752154 - core.py:611
[2024-07-29 01:10:36,971] DEBUG - face_id：1，confidence：58.52640995085087 - core.py:611
[2024-07-29 01:10:37,116] DEBUG - face_id：1，confidence：58.30283323479056 - core.py:611
[2024-07-29 01:10:37,271] DEBUG - face_id：1，confidence：57.301061365372625 - core.py:611
[2024-07-29 01:10:37,379] DEBUG - face_id：1，confidence：58.65203094972922 - core.py:611
[2024-07-29 01:10:37,516] DEBUG - face_id：1，confidence：57.29713308072961 - core.py:611
[2024-07-29 01:10:37,624] DEBUG - face_id：1，confidence：59.807073920488186 - core.py:611
[2024-07-29 01:10:37,721] DEBUG - face_id：1，confidence：57.71425904568128 - core.py:611
[2024-07-29 01:10:37,822] DEBUG - face_id：1，confidence：58.96421404561542 - core.py:611
[2024-07-29 01:10:37,952] DEBUG - face_id：1，confidence：57.39124472700342 - core.py:611
[2024-07-29 01:10:38,089] DEBUG - face_id：1，confidence：58.604059079404735 - core.py:611
[2024-07-29 01:10:38,184] DEBUG - face_id：1，confidence：57.799870816974206 - core.py:611
[2024-07-29 01:10:38,320] DEBUG - face_id：1，confidence：57.276907359492846 - core.py:611
[2024-07-29 01:10:38,489] DEBUG - face_id：1，confidence：59.64351305600725 - core.py:611
[2024-07-29 01:10:38,642] DEBUG - face_id：1，confidence：57.818512202317706 - core.py:611
[2024-07-29 01:10:38,771] DEBUG - face_id：1，confidence：59.88928680902508 - core.py:611
[2024-07-29 01:10:38,908] DEBUG - face_id：1，confidence：62.49023507253073 - core.py:611
[2024-07-29 01:10:39,024] DEBUG - face_id：1，confidence：59.64167454301486 - core.py:611
[2024-07-29 01:10:39,109] DEBUG - face_id：1，confidence：57.65499861074453 - core.py:611
[2024-07-29 01:10:39,217] DEBUG - face_id：1，confidence：58.10912676002083 - core.py:611
[2024-07-29 01:10:39,340] DEBUG - face_id：1，confidence：58.014954665373715 - core.py:611
[2024-07-29 01:10:39,496] DEBUG - face_id：1，confidence：61.510699124025614 - core.py:611
[2024-07-29 01:10:39,621] DEBUG - face_id：1，confidence：59.63195110707981 - core.py:611
[2024-07-29 01:10:39,744] DEBUG - face_id：1，confidence：57.44317681938316 - core.py:611
[2024-07-29 01:10:39,899] DEBUG - face_id：1，confidence：58.801864782355665 - core.py:611
[2024-07-29 01:10:40,010] DEBUG - face_id：1，confidence：58.810385755489825 - core.py:611
[2024-07-29 01:10:40,131] DEBUG - face_id：1，confidence：58.294905034515395 - core.py:611
[2024-07-29 01:10:40,260] DEBUG - face_id：1，confidence：60.585499591980266 - core.py:611
[2024-07-29 01:10:40,408] DEBUG - face_id：1，confidence：57.125500825664105 - core.py:611
[2024-07-29 01:10:40,603] DEBUG - face_id：1，confidence：56.867780529169366 - core.py:611
[2024-07-29 01:10:40,713] DEBUG - face_id：1，confidence：60.84995016477125 - core.py:611
[2024-07-29 01:10:40,855] DEBUG - face_id：1，confidence：56.77714830797083 - core.py:611
[2024-07-29 01:10:40,959] DEBUG - face_id：1，confidence：58.129869165689975 - core.py:611
[2024-07-29 01:10:41,100] DEBUG - face_id：1，confidence：58.324760795135845 - core.py:611
[2024-07-29 01:10:41,231] DEBUG - face_id：1，confidence：56.70328153126761 - core.py:611
[2024-07-29 01:10:41,332] DEBUG - face_id：1，confidence：56.127457596307856 - core.py:611
[2024-07-29 01:10:41,468] DEBUG - face_id：1，confidence：58.37874145609971 - core.py:611
[2024-07-29 01:10:41,594] DEBUG - face_id：1，confidence：56.74060162516174 - core.py:611
[2024-07-29 01:10:41,743] DEBUG - face_id：1，confidence：58.41953460074772 - core.py:611
[2024-07-29 01:10:41,848] DEBUG - face_id：1，confidence：56.13346018248088 - core.py:611
[2024-07-29 01:10:41,979] DEBUG - face_id：1，confidence：58.785395764271115 - core.py:611
[2024-07-29 01:10:42,080] DEBUG - face_id：1，confidence：57.43951189994426 - core.py:611
[2024-07-29 01:10:42,222] DEBUG - face_id：1，confidence：57.02952268077729 - core.py:611
[2024-07-29 01:10:42,360] DEBUG - face_id：1，confidence：60.70249488686014 - core.py:611
[2024-07-29 01:10:42,466] DEBUG - face_id：1，confidence：58.322731213795095 - core.py:611
[2024-07-29 01:10:42,605] DEBUG - face_id：1，confidence：57.498352138996914 - core.py:611
[2024-07-29 01:10:42,793] DEBUG - face_id：1，confidence：61.39253576527775 - core.py:611
[2024-07-29 01:10:42,971] DEBUG - face_id：1，confidence：56.55766107512908 - core.py:611
[2024-07-29 01:10:43,125] DEBUG - face_id：1，confidence：60.46553646842699 - core.py:611
[2024-07-29 01:10:43,235] DEBUG - face_id：1，confidence：58.11520037858479 - core.py:611
[2024-07-29 01:10:43,377] DEBUG - face_id：1，confidence：58.21435470461659 - core.py:611
[2024-07-29 01:10:43,493] DEBUG - face_id：1，confidence：61.22493749176744 - core.py:611
[2024-07-29 01:10:43,610] DEBUG - face_id：1，confidence：57.20609611737941 - core.py:611
[2024-07-29 01:10:43,761] DEBUG - face_id：1，confidence：58.86707749525405 - core.py:611
[2024-07-29 01:10:43,880] DEBUG - face_id：1，confidence：60.517195803073285 - core.py:611
[2024-07-29 01:10:44,001] DEBUG - face_id：1，confidence：59.5200935978613 - core.py:611
[2024-07-29 01:10:44,109] DEBUG - face_id：1，confidence：60.434676903551754 - core.py:611
[2024-07-29 01:10:44,253] DEBUG - face_id：1，confidence：60.51369719407992 - core.py:611
[2024-07-29 01:10:44,366] DEBUG - face_id：1，confidence：58.394048207152316 - core.py:611
[2024-07-29 01:10:44,499] DEBUG - face_id：1，confidence：57.514324417174016 - core.py:611
[2024-07-29 01:10:44,609] DEBUG - face_id：1，confidence：60.70675613201438 - core.py:611
